Product SKU,Quantity,Unit Code,Price,Currency
0RT28,1,item,89.99,USD
0RT28,10,item,85.49,USD
0RT28,20,item,80.99,USD
0RT28,50,item,76.49,USD
0RT28,100,item,71.99,USD
1AB92,1,item,85.5,USD
1AB92,20,item,76.95,USD
1AB92,50,item,72.68,USD
1AB92,100,item,68.4,USD
1GB82,20,set,16.19,USD
1GB82,100,set,14.39,USD
1GS46,1,item,22.49,USD
1GS46,20,item,20.24,USD
1GS46,50,item,19.12,USD
1GS46,100,item,17.99,USD
1TB10,1,set,270,USD
1TB10,10,set,256.5,USD
1TB10,20,set,243,USD
1TB10,50,set,229.5,USD
1TB10,100,set,216,USD
